epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4033,2.00763,2.84465,1.03837,0.37341,0.1344,0.08877,0.04495,1.84462,1.96771,0.98331,0.000236237,0.000236237,0.000236237
2,87.2723,1.83108,1.62486,0.97783,0.21976,0.18366,0.12894,0.06814,1.72382,1.53337,0.95649,0.000464847,0.000464847,0.000464847
3,115.731,1.78029,1.48159,0.96928,0.26139,0.21684,0.15711,0.08241,1.71408,1.42561,0.95648,0.000684032,0.000684032,0.000684032
4,143.648,1.72995,1.39861,0.96218,0.24726,0.21794,0.14816,0.07926,1.69487,1.44193,0.95106,0.000671588,0.000671588,0.000671588
5,171.452,1.72412,1.35356,0.95629,0.31922,0.25055,0.20145,0.10562,1.65465,1.29699,0.93561,0.000657451,0.000657451,0.000657451
6,199.132,1.69824,1.31223,0.9482,0.31299,0.25404,0.20689,0.11253,1.62049,1.23852,0.93016,0.000643314,0.000643314,0.000643314
7,227.014,1.66042,1.26368,0.94307,0.30301,0.24778,0.19435,0.10395,1.66126,1.27686,0.94401,0.000629177,0.000629177,0.000629177
8,254.895,1.66375,1.25609,0.93888,0.31594,0.27288,0.21538,0.11476,1.60408,1.23184,0.92974,0.00061504,0.00061504,0.00061504
9,282.489,1.65108,1.23897,0.93806,0.31608,0.26647,0.21691,0.11687,1.60523,1.2091,0.92541,0.000600902,0.000600902,0.000600902
10,310.44,1.63052,1.21386,0.93368,0.36505,0.27812,0.23032,0.12501,1.57513,1.20007,0.91656,0.000586765,0.000586765,0.000586765
11,338.407,1.62761,1.19632,0.93139,0.36154,0.28539,0.23838,0.1311,1.55317,1.17492,0.9206,0.000572628,0.000572628,0.000572628
12,366.198,1.62027,1.1898,0.92952,0.35359,0.27887,0.24064,0.13304,1.54189,1.15232,0.91473,0.000558491,0.000558491,0.000558491
13,394.011,1.61525,1.17557,0.9255,0.36416,0.28493,0.24468,0.13255,1.55843,1.1602,0.91792,0.000544354,0.000544354,0.000544354
14,422.022,1.60883,1.16757,0.92589,0.36734,0.28427,0.24303,0.13161,1.53338,1.17257,0.91494,0.000530216,0.000530216,0.000530216
15,450.072,1.60684,1.16121,0.92139,0.38949,0.29166,0.25747,0.14149,1.51792,1.12672,0.9133,0.000516079,0.000516079,0.000516079
16,478.247,1.58824,1.1475,0.92045,0.36096,0.28948,0.25371,0.13929,1.54349,1.15493,0.91378,0.000501942,0.000501942,0.000501942
17,505.834,1.58692,1.14788,0.92123,0.39479,0.29001,0.25943,0.14261,1.52603,1.11383,0.91417,0.000487805,0.000487805,0.000487805
18,533.339,1.58379,1.13113,0.9195,0.37893,0.29216,0.25598,0.14242,1.51437,1.11914,0.90753,0.000473668,0.000473668,0.000473668
19,561.029,1.56405,1.11733,0.91691,0.40402,0.29607,0.26403,0.14718,1.5075,1.10308,0.90659,0.00045953,0.00045953,0.00045953
20,588.882,1.5665,1.11515,0.91804,0.37704,0.30408,0.26554,0.14569,1.49716,1.1165,0.90494,0.000445393,0.000445393,0.000445393
21,616.662,1.56147,1.10822,0.91561,0.39427,0.30192,0.27094,0.15137,1.50565,1.09162,0.9091,0.000431256,0.000431256,0.000431256
22,644.106,1.55373,1.096,0.91545,0.38894,0.29567,0.26619,0.14702,1.49504,1.09883,0.90387,0.000417119,0.000417119,0.000417119
23,671.795,1.54426,1.09276,0.91473,0.37848,0.29812,0.25651,0.13994,1.51265,1.11429,0.90709,0.000402982,0.000402982,0.000402982
24,699.304,1.55207,1.08703,0.91222,0.3956,0.30683,0.26888,0.14958,1.48363,1.08281,0.9007,0.000388844,0.000388844,0.000388844
25,727.309,1.53733,1.08501,0.91013,0.38231,0.30204,0.26406,0.14665,1.49229,1.1067,0.90273,0.000374707,0.000374707,0.000374707
26,754.895,1.53134,1.07309,0.9115,0.39547,0.30931,0.27539,0.15187,1.48473,1.08204,0.90467,0.00036057,0.00036057,0.00036057
27,782.477,1.53545,1.07241,0.90929,0.40147,0.31275,0.27972,0.15562,1.47969,1.06408,0.9004,0.000346433,0.000346433,0.000346433
28,810.436,1.53153,1.0689,0.90753,0.40769,0.30772,0.27804,0.15471,1.48366,1.06972,0.90259,0.000332296,0.000332296,0.000332296
29,837.99,1.53424,1.06706,0.90662,0.41443,0.30917,0.28026,0.15655,1.47538,1.06095,0.89979,0.000318158,0.000318158,0.000318158
30,865.789,1.52871,1.0563,0.90431,0.40817,0.32053,0.28606,0.15925,1.46519,1.06186,0.90015,0.000304021,0.000304021,0.000304021
31,893.653,1.51523,1.04811,0.90473,0.39747,0.31528,0.28368,0.15789,1.4664,1.05657,0.89846,0.000289884,0.000289884,0.000289884
32,921.32,1.51603,1.04817,0.9031,0.41119,0.32461,0.29456,0.16457,1.45928,1.04223,0.8959,0.000275747,0.000275747,0.000275747
33,949.062,1.51231,1.04092,0.90351,0.4156,0.31886,0.29008,0.1628,1.45924,1.04222,0.89615,0.00026161,0.00026161,0.00026161
34,976.95,1.51195,1.03971,0.90162,0.41837,0.32026,0.28751,0.15961,1.46279,1.04892,0.8975,0.000247472,0.000247472,0.000247472
